Nazwa;KCAL;WEGLOWODANY;BIALKO;TLUSZCZ
Pomidor;15;0.9;0.2;3.6
Popcorn bez tluszczu;397;12.0;4.2;77.9
Popcorn z tluszczem;518;9.0;28.1;57.1
Por;24;2.2;0.3;5.7
Porzeczki biale;33;1.0;0.2;13.1
Porzeczki czarne;35;1.3;0.2;14.9
Porzeczki czerwone;31;1.1;0.2;13.8
Potrawka z kurczaka;148;13.2;9.0;4.7
Poziomki;33;0.8;0.5;8.3
Precelki;385;9.1;3.5;79.5
Przyprawa Maggi;17;2.7;0.0;58.4
Przyprawa Jarzynka;100;1.3;0.2;14.9
Pstrag strumieniowy;97;19.2;2.1;0.0
Pstrag teczowy;160;18.9;9.6;0.0
Ptysie z bita smietana;346;5.4;25.0;25.8
Pulpety mielone;223;18.7;11.1;13.4
Pumpernikiel;252;5.8;2.0;58.3
Pyzy;210;3.7;6.2;37.4
Pyzy z miesem;292;7.8;14.0;36.2
Rabarbar;9;0.5;0.1;4.6
Risotto z miesem;229;7.4;11.8;24.2
Risotto z miesem i warzywami;185;6.6;10.0;18.3
Rodzynki suszone;277;2.3;0.5;71.2
Rolada biszkoptowa;304;6.9;5.4;56.8
Rolada wieprzowa;412;21.1;32.5;10.0
Ryż bialy;344;5.7;0.7;78.9
Ryż brazowy;322;7.1;1.9;76.8
Ryż na mleku;66;2.7;2.1;9.1
Ryż na sypko;135;2.4;1.5;28.4
Ryż preparowany;361;6.3;1.6;84.1
Ryż z jablkami;152;2.0;2.1;32.3
Rzepa;26;1.1;0.3;8.2
Rzodkiewka;14;1.0;0.2;4.4
Salami popularne;568;21.6;53.7;1.4
Salceson czarny;336;12.6;32.0;0.5
Salceson wloski;318;14.6;29.3;0.0
Salata;14;1.4;0.2;2.9
Salata zielona z olejem;55;0.9;4.7;3.6
Salata zielona ze smietana;40;1.4;2.3;4.5
Salatka jarzynowa z majonezem;192;2.9;16.5;10.9
Salatka z czerwonej kapusty;83;1.4;6.5;7.0
Sandacz swiezy;84;19.2;0.7;0.0
Sardyna swieza;169;20.6;9.6;0.0
Sardyna w oleju;221;24.1;13.9;0.0
Sardyna w pomidorach;162;17.0;9.9;1.4
Sarnina;102;20.8;1.9;0.4
Schab pieczony;291;30.4;18.7;0.7
Schab surowy wieprzowy;174;21.0;10.0;0.0
Schab wedzony;136;25.0;4.0;0.0
Seler, korzen;21;1.6;0.3;7.7
Seler, naciowy;13;1.0;0.2;3.6
Ser Brie pelnotlusty;329;19.8;28.0;0.2
Ser Camembert pelnotlusty;291;21.4;23.0;0.2
Ser Cheddar pelnotlusty;391;27.1;23.4;0.1
Ser Edamski tlusty;313;36.1;23.4;0.1
Ser Ementaler pelnotlusty;380;28.8;29.7;0.1
Ser Feta;215;17.0;16.0;1.0
Ser Gouda tlusty;316;27.9;22.9;0.1
Ser Mysliwski pelnotlusty;346;25.5;27.4;0.1
Ser Parmezan;452;41.5;32.0;0.1
Ser Rokpol pelnotlusty;363;15.8;9.5;2.0
Ser Salami pelnotlusty;351;25.2;28.1;0.1
Ser topiony edamski;298;13.5;27.0;1.2
Ser twarogowy chudy;99;19.8;0.5;3.5
Ser twarogowy poltlusty;133;18.7;4.7;3.7
Ser twarogowy tlusty;175;17.7;10.1;3.5
Ser Tylzycki pelnotlusty;353;26.1;27.9;0.1
Ser Tylzycki tlusty;334;27.8;25.0;0.1
Serca wieprzowe;165;16.9;4.8;0.0
Serek Fromage naturalny;379;10.2;37.1;2.4
Serek Fromage z czosnkiem;367;10.0;35.2;4.0
Serek homogenizowany;161;12.7;11.0;3.0
Serek homog. truskawkowy;168;15.3;3.9;17.7
Serek homog. waniliowy;159;16.8;4.2;13.3
Serek twarogowy ziarnisty;101;12.3;4.3;3.3
Sernik krakowski;325;13.8;13.4;37.7
Sernik wiedenski;305;12.5;15.5;31.5
Sernik z rodzynkami;333;13.9;13.4;39.7
Serwatka plynna;25;0.8;0.1;5.1
Sezamki;402;10.2;26.4;34.7
Skrobia ziemniaczana;343;0.6;0.1;83.9
Slonecznik, nasiona;561;24.4;43.7;24.6
Slonina;797;2.4;89.0;0.0
Smalec;880;0.0;99.5;0.0
